"Err.Topo","Err.Quan","Kaski and Lagus","LearnRate","0=online/1=batch","Sigma","Init (10=Rand 20=Interval 30=Vector 40=PCA)","Neigh. Func. (10=Gauss 20=Bubble 30=Cut Gauss)","Neigh. Width","Growing"
0.025724785626786442,154.02722273685322,1.0604383876555437,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.04246631278072683,149.24981407628994,1.0858002887048366,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.02490812576561862,160.4590411395036,1.0678764885952436,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.03307472437729685,154.24248004434244,1.0721197386778976,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.043078807676602694,159.7822027189737,1.0850923239524242,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.0379746835443038,153.53202866781473,1.0815704427659891,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.04838709677419355,159.1478930204977,1.0853711500654344,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.046549612086565946,153.31769508666122,1.0852016527330872,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.04532462229481421,156.23437043842068,1.0825304962103757,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.038178848509595756,154.85035634005837,1.0808187742629765,0.2,0.0,3.0,40.0,10.0,0.5,1.0
0.045937117190690074,155.11163053488278,1.0798512924734345,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.03429971416904859,156.13679051141477,1.0763856248492067,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.03042057982850143,155.9258647350571,1.0675634676878434,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.05716619028174765,150.47782238531082,1.0938092736597205,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.031849734585545124,149.72921670374598,1.0665024942228962,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.03634136382196815,152.36785080585486,1.0813327584332084,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.03960800326663944,155.4096984226525,1.0782788277710602,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.043078807676602694,151.13284118127592,1.085368077007202,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.02388730093915884,154.86963942670732,1.0648978439009202,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.048591261739485504,157.47112957741805,1.0876829582640706,0.2,0.0,3.0,20.0,10.0,0.5,1.0
0.04185381788485096,161.8314335630739,1.0924523139165117,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.04083299305839118,158.158318825865,1.0827191341008298,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.04532462229481421,156.65103236723408,1.088536347972077,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.03327888934258881,154.4265295513859,1.0780780991325818,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.030012249897917516,156.84156233501287,1.0638712867160092,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.040220498162515314,157.275880749097,1.0821306412309304,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.03164556962025317,151.94999094918342,1.0759391569924832,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.028787260106165783,155.1482049900165,1.0606672529583538,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.035524703960800326,157.79160513101803,1.0810109442897138,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.0379746835443038,153.30063130419944,1.0854023338718253,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.041649652919559,149.17083647090558,1.0806800401124756,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.03327888934258881,153.5467435404075,1.069119384144632,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.03532053899550837,150.62307029327422,1.0838348448945028,0.2,0.0,3.0,10.0,10.0,0.5,1.0
0.026133115557370357,154.0465208245678,1.0649339568853753,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.03491220906492446,152.54440791133925,1.0695272372215883,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.04287464271131074,152.13136903045887,1.0859802713414575,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.04450796243364639,152.95919084583076,1.0820659842478217,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.047570436913025725,150.98158999070662,1.085745526743713,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.10432829726418946,134.98056992889988,1.1757820681765823,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.03144140465496121,152.23600100179996,1.0768142100861169,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.08309514087382605,137.55537180787786,1.2052991775842952,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.08534095549203756,136.82431512434854,1.158804474300602,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.03674969375255206,156.88138873155594,1.08715422391416,0.2,0.0,3.0,30.0,10.0,0.5,1.0
0.08697427521437322,137.59823370572744,1.1481417382004344,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.056962025316455694,138.63279553815607,1.136919721424695,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.07288689260922826,136.37326229064004,1.1787205517130748,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.08534095549203756,136.84825324360298,1.1920882509684776,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.06717027358105349,139.40989591985775,1.149124111049379,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.06798693344222131,137.6144555816268,1.1281368835405525,0.2,0.0,3.0,40.0,20.0,0.5,1.0
0.07697019191506738,137.60280476732214,1.1785632512795676,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.07247856267864435,135.93974685741318,1.1520905975617421,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.07166190281747652,136.5214520249426,1.1556801657870444,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.0708452429563087,136.5376454062986,1.1395544396501223,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.10289914250714577,134.52747041140472,1.2136642446736228,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.07145773785218457,139.01698705085616,1.1653770900471327,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.07186606778276848,137.3096491946745,1.1325662819915627,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.0865659452837893,136.07428955529164,1.1939718843518359,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.09412004899959167,135.79134233505442,1.1632893716486432,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.07370355247039607,138.75062140571822,1.1438853861587828,0.2,0.0,3.0,20.0,20.0,0.5,1.0
0.0902409146590445,135.20797429990407,1.2350363361167627,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.09187423438138015,136.12392891520946,1.1984736482064535,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.06472029399755003,135.91241276801327,1.1588224607529631,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.0847284605961617,137.85359720446615,1.1686103710094868,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.046549612086565946,138.5646181125361,1.1001561082304074,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.09554920375663536,137.89234990314827,1.1898514393432316,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.08023683135973866,135.67206009337067,1.1704107921791282,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.07023274806043282,135.33771532847214,1.1491093743014438,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.07431604736627195,137.31783748053965,1.146859501323099,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.07901184156798693,135.5970092176295,1.1632496956344691,0.2,0.0,3.0,10.0,20.0,0.5,1.0
0.10677827684769294,136.2430946970132,1.1923730287254009,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.07574520212331563,134.21820310838558,1.1594973873230678,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.07288689260922826,134.83286082558158,1.1551312496581425,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.07349938750510412,138.45285058966857,1.158116139360896,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.09269089424254798,139.04950358162066,1.181921090972156,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.07574520212331563,136.20626605365024,1.145203402624265,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.07656186198448346,136.18116649093776,1.1582648359516003,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.08064516129032258,136.48479992254252,1.1999764801801842,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.10820743160473663,134.72168307699877,1.2022706580394036,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.14107799101674154,204.68177584355715,1.215941563055034,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.19559003674969375,198.38979263478848,1.285910533408491,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.07860351163740302,138.77990495400843,1.1751286045230722,0.2,0.0,3.0,30.0,20.0,0.5,1.0
0.12862392813393222,206.63090988905398,1.1934730318270834,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.1518987341772152,200.58632757052766,1.225313664265114,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.21416904859126173,208.41258153855352,1.2855068561736531,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.13454471212739894,199.21539211991436,1.1888965684197457,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.10943242139648836,179.5718546257977,1.152423816787627,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.18783176806859944,193.9450892523742,1.258665800174025,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.1874234381380155,197.0233522502919,1.2458193859228852,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.14291547570436913,178.0777748882058,1.1892768017329942,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.1212739893834218,175.99806955150643,1.1704773518888334,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.2213148223764802,204.30573562247992,1.329584674483969,0.2,0.0,3.0,40.0,30.0,0.5,1.0
0.12372396896692528,211.4677244572609,1.2067104378230422,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.17537770518579013,192.00907179343486,1.2519414193126652,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.21866067782768478,204.22591219343732,1.3058852413624822,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.17415271539403837,194.85015520071173,1.232513302409292,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.20314414046549611,196.6002398134546,1.2704369619872304,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.1420988158432013,187.01977284471388,1.2017190226306071,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.1533278889342589,194.69828868634093,1.2269698425247735,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.16006533278889343,194.4165234815365,1.2307914502820614,0.2,0.0,3.0,20.0,30.0,0.5,1.0
0.21927317272356064,215.93183605944336,1.292350313609523,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.11106574111882402,199.4291230670717,1.1666862235743307,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.1735402204981625,192.43323116478794,1.2632570908870535,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.16210698244181299,185.36832022510478,1.2244524949418345,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.2078399346672111,208.28099875433068,1.2926257653642979,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.1917109024091466,195.22670403930547,1.2585191310819326,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.16516945692119234,175.2322152822139,1.2360621101025346,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.16394446712944058,218.75086719181704,1.2576053220073125,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.14740710494079215,191.44742441895494,1.2058896334052582,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.09942833809718252,208.4481306174371,1.1766941875494972,0.2,0.0,3.0,10.0,30.0,0.5,1.0
0.22213148223764803,187.84243763325364,1.3247942910643637,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.1486320947325439,196.63371960535054,1.2149109268283687,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.12984891792568395,201.1927779003728,1.2172708815639797,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.23438138015516538,214.60846268146204,1.3167840879300656,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.15843201306655777,195.22214145439818,1.2425933322691707,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.24561045324622294,203.3419816002029,1.304479783911842,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.15169456921192323,202.40619423892883,1.2295643516208512,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.1490404246631278,193.2555857089018,1.2221836638850352,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.1508779093507554,205.42374291063985,1.210376427707358,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.10269497754185382,197.93887629771604,1.1637278228455934,0.2,0.0,3.0,30.0,30.0,0.5,1.0
0.04246631278072683,161.94122280539207,1.0885955946928116,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.04001633319722336,162.45514146572967,1.0923754882535177,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.03491220906492446,164.3741134632667,1.0733716034020553,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.038178848509595756,159.03192422816446,1.0824891637868852,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.03634136382196815,159.69460939605352,1.0895660697011134,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.05349122090649244,161.90603497220087,1.095734184355288,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.034708044099632504,165.92161898157602,1.0820583133894601,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.03736218864842793,159.69056722329447,1.0914027291186799,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.05451204573295223,161.0398835755723,1.224793769615266,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.039199673336055535,161.8484211967888,1.0867391631679846,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.04736627194773377,159.9774871711665,1.1110611447879066,0.2,1.0,3.0,40.0,10.0,0.5,1.0
0.028174765210289915,159.58796328819565,1.0658611603283372,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.027153940383830136,152.67926436332255,1.0703714300455947,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.052062066149448756,162.61459095940793,1.1650907698977966,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.0518579011841568,152.1522918121401,1.086801202901621,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.06165781951817068,161.91266810916528,1.194551381810773,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.08738260514495713,165.96395153138573,1.2725528688304177,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.06941608819926501,163.2821024058742,1.231784831034274,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.08432013066557778,170.7144875894917,1.228198139565025,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.07697019191506738,162.22395199856723,1.1388778995505444,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.06594528378930176,162.2569015732067,1.2166714784755424,0.2,1.0,3.0,20.0,10.0,0.5,1.0
0.03246222948142099,157.8911058014064,1.0716396704372002,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.06512862392813393,161.19650755959773,1.1264182334748056,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.06859942833809718,157.93525160811686,1.1292232036766265,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.08962841976316864,153.6554658019537,1.13937432948182,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.08922008983258473,160.92060920726124,1.1428992668859252,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.05022458146182115,159.87492745280198,1.0918486989491225,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.037566353613719884,160.67635636362544,1.0844582189390823,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.06839526337280523,170.5758746265326,1.1307831512099904,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.09085340955492037,163.17708569508255,1.1472390946702904,0.2,1.0,3.0,10.0,10.0,0.5,1.0
0.12474479379338506,160.4405687071471,1.4913108551872492,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.10779910167415271,161.90473941189674,1.2310952918358304,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.0902409146590445,159.18856959322343,1.1792953388307927,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.11535320538995508,159.25629146161674,1.233821210996655,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.0949367088607595,161.5719862739588,1.2081608791902734,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.12066149448754594,160.112394987273,1.2813622692909907,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.06022866476112699,159.69610298398536,1.1044704171057547,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.06859942833809718,195.58841911457793,1.1599813023917063,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.13495304205798286,163.64463320419443,1.5652602354438943,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.10126582278481013,193.57916673215556,1.1775376003944784,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.0796243364638628,198.34451974937076,1.1495190934563844,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.09105757452021233,164.96576013819296,1.1806790037031836,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.07799101674152716,194.5313447994258,1.170177898080732,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.12209064924458962,162.08665579178523,1.4438723266214344,0.2,1.0,3.0,30.0,10.0,0.5,1.0
0.06002449979583503,191.23504474262808,1.132346885410908,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.06737443854634545,193.77710463647992,1.1459324427595916,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.06798693344222131,183.87283432625395,1.1279854704626897,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.10575745202123316,171.963927480546,1.2072200750266529,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.09922417313189057,188.815083016572,1.3678675138866012,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.1490404246631278,150.04103896782547,1.5859618291073552,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.06451612903225806,181.3788472246837,1.1803550116832755,0.2,1.0,3.0,40.0,20.0,0.5,1.0
0.13270722743977134,140.1638006549139,1.5092208657931634,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.16557778685177624,139.68253569737112,1.70532513999538,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.1800734993875051,140.20221174049684,1.5057579035811548,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.10330747243772968,140.76729417737087,1.3809243148585895,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.09064924458962842,139.8499034597887,1.298254369836625,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.05737035524703961,142.9742594599942,1.1316811472968547,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.26153532053899553,136.8193654166804,2.097758139121413,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.06349530420579828,149.883425723913,1.1822955136226854,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.09616169865251123,139.08631700531268,1.337298145570705,0.2,1.0,3.0,20.0,20.0,0.5,1.0
0.08962841976316864,153.58468299480094,1.167738808288036,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.10432829726418946,156.30339629621665,1.1868728861364264,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.11188240097999183,151.8994671534975,1.18964872747111,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.1175990200081666,157.40723469138587,1.1766858380341743,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.10494079216006533,154.98220107810832,1.1896656188399568,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.11106574111882402,158.92595658707447,1.1857750013448498,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.11024908125765619,155.39827378845368,1.2095545679437432,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.11045324622294814,157.51322899880375,1.1977364697833408,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.09840751327072274,159.54488037740896,1.1634432177169067,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.10922825643119641,147.73221427024725,1.201251983313648,0.2,1.0,3.0,10.0,20.0,0.5,1.0
0.21866067782768478,136.26829557949537,1.8814349317230492,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.15312372396896692,142.46119828685718,1.2765335235375372,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.23172723560636996,136.59228090209305,1.790647668620272,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.19844834626378113,137.1151818180339,1.6629471583948618,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.19375255206206615,141.17493750079782,1.4181655650267042,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.11657819518170683,148.2624508077313,1.2869053594952493,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.185177623519804,144.75195321706087,1.4152208969410087,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.18456512862392813,140.80813663246104,1.4344238743635076,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.21131073907717435,141.65893011687865,1.440722525544483,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.20498162515312374,142.46203631677955,1.5149983740948918,0.2,1.0,3.0,30.0,20.0,0.5,1.0
0.10922825643119641,227.23529070180294,1.3024163517153537,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.1241322988975092,220.5715944170783,1.3461763157241893,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.12066149448754594,225.90634639307484,1.3325656076751886,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.09187423438138015,215.4755512962668,1.1464833710282292,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.08432013066557778,216.5376604054549,1.1418002573306358,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.08370763576970192,211.3882884873624,1.1446280703322502,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.12106982441812984,233.23869023706476,1.2960879318573018,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.12086565945283789,220.43666775549644,1.2620328027267245,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.10494079216006533,223.63087800740735,1.1530483621901606,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.20375663536137198,212.84066798496866,1.3227522801112634,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.1829318089015925,198.80232203151357,1.2514908783241145,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.14128215598203347,226.14373315704773,1.351193085577184,0.2,1.0,3.0,40.0,30.0,0.5,1.0
0.23764801959983667,207.78986548650988,1.3025295764570253,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.19681502654144548,206.82941445210793,1.3576621915990421,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.18946508779093507,200.06605840443552,1.2339865370364302,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.26561861984483465,209.45236772314468,1.3308396014134636,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.21784401796651695,212.28478358719576,1.294464022782196,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.21457737852184566,207.99352155577088,1.2709255862710842,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.16925275622703145,206.8046851027313,1.2408747825852862,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.1829318089015925,213.01255469005906,1.5091899866659981,0.2,1.0,3.0,20.0,30.0,0.5,1.0
0.12944058799510005,211.3568228159397,1.170958926667199,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.12862392813393222,214.0234666875746,1.1906948686581411,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.10698244181298489,211.37819227361834,1.1683091450129885,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.11657819518170683,209.10770405863025,1.1839746231234443,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.08717844017966517,206.72924544593533,1.155518424958337,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.1227031441404655,217.6666940777731,1.1808221098566298,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.1259697835851368,208.9050726061739,1.1869957273593659,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.11637403021641486,218.14977264810398,1.1625458906998987,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.12494895875867701,205.68796924827473,1.1785806388828652,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.11616986525112291,210.74627816664184,1.1706301098747738,0.2,1.0,3.0,10.0,30.0,0.5,1.0
0.1643527970600245,221.83764173739445,1.2849811436785208,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.1602694977541854,197.87769271803964,1.2153690675210371,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.17435688035933034,219.25218505807828,1.3389653297382764,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.15516537362188648,203.0221287664761,1.210702762100138,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.2750102082482646,227.86865805360947,1.541214507565049,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.16598611678236014,218.66189518301232,1.3835569406253598,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.2588811759902001,218.65236924057956,1.547703627856386,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.09759085340955492,205.0505286487441,1.1496632357388208,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.16680277664352797,206.01163958258948,1.2029423518951796,0.2,1.0,3.0,30.0,30.0,0.5,1.0
0.2296855859534504,218.13454019619198,1.350578713800774,0.2,1.0,3.0,30.0,30.0,0.5,1.0
